League #,Winner draft pick #,# Teams in league
48787,8,
48790,5,8
48800,2,14
48803,7,
48805,7,
48808,2,
48811,10,12
48812,5,
48813,5,12
48814,4,
48822,9,12
48828,4,10
48831,7,10
48836,4,8
48840,8,
48841,2,
48844,9,
48845,3,14
48850,1,12
48854,10,10
48856,1,12
48857,7,8
48858,11,12
48859,9,12
48862,3,
48864,4,
48865,3,10
48868,7,
48873,4,12
48874,5,8
48876,14,14
48877,4,12
48880,1,10
48882,4,10
48883,2,
48888,8,8
48889,8,9
48890,4,
48893,9,10
48898,7,12
48900,6,14
48902,7,
48906,1,
48908,9,12
48911,8,10
48913,3,10
48921,3,10
48922,6,10
48923,7,12
48924,1,
48925,10,10
48931,8,12
48933,2,
48935,4,8
48939,3,10
48941,4,9
48942,2,6
48944,3,10
48947,9,12
48949,12,12
48960,10,10
48962,1,
48964,3,
48966,8,12
48968,6,10
48970,2,10
48973,2,12
48976,8,10
48981,12,12
48982,6,
48988,8,10
48994,7,
48996,6,
48998,6,
49003,2,10
49013,9,10
49016,2,12
49018,1,8
49020,1,12
49022,6,
49024,7,
49025,2,
49034,3,12
49038,8,10
49047,8,12
49050,8,8
49052,11,12
49053,10,
49068,3,10
49069,6,10
49072,7,10
49087,11,14
49096,4,10
49101,11,
49103,5,12
49104,12,14
49108,13,14
49109,9,10
49110,1,14
49111,2,8
49116,6,
49117,6,6
49126,2,10
49129,10,10
49131,12,14
49132,4,12
49136,6,
49141,4,10
49144,5,12
49147,9,
49148,11,12
49154,4,
49155,9,12
49156,8,10
49158,11,14
49163,8,10
49166,3,12
49168,1,
49173,3,
49175,10,
49176,10,12
49180,2,
49182,8,
49183,7,10
49188,10,10
49190,10,12
49191,9,
49194,3,6
49196,6,8
49197,3,10
49200,9,12
49201,8,10
49205,1,10
49206,8,
49210,12,12
49211,7,
49213,3,12
49220,6,
49223,7,
49232,4,12
49236,1,12
49237,4,10
49240,1,
49244,6,8
49245,4,
49246,1,
49247,10,16
49253,5,
49254,1,
49260,4,
49264,12,16
49271,6,10
49275,8,12
49276,9,10
49278,5,
49282,10,12
49283,8,8
49286,1,
49288,7,
49289,11,16
49292,8,
49293,2,
49295,6,10
49296,9,10
49298,12,12
49300,2,12
49303,7,12
49306,9,12
49307,4,12
49313,4,
49315,2,10
49316,1,14
49318,7,
49320,7,
49321,7,12
49322,8,8
49324,4,8
49325,3,
49326,7,
49333,12,12
49334,2,12
49335,10,
49336,5,
49338,7,14
49340,6,10
49341,6,10
49343,8,12
49345,4,
49348,4,
49349,7,12
49350,1,
49352,1,8
49354,3,
49356,2,
49362,6,
49363,3,12
49364,2,
49367,10,
49375,8,10
49376,10,10
49381,3,
49382,1,10
49386,3,8
49391,11,
49397,7,14
49400,9,12
49409,5,10
49410,2,8
49416,7,10
49417,2,10
49418,3,
49422,1,
49423,3,10
49425,2,10
49426,3,
49428,2,
49430,6,10
49432,10,
49433,9,10
49438,12,12
49446,7,
49447,3,16
49448,4,
49450,5,
49453,8,12
49454,9,
49456,7,
49460,2,12
49466,4,8
49472,6,12
49476,1,10
49480,8,
49481,10,12
49482,7,12
49484,6,12
49486,10,10
49488,7,12
49489,2,
49490,12,12
49492,2,
49493,6,
49494,5,10
49497,6,10
49499,5,12
49502,4,12
49505,4,
49508,6,16
49510,9,10
49516,4,
49518,9,
49520,1,
49528,6,
49530,3,12
49532,10,10
49533,8,
49534,7,12
49538,3,12
49541,9,
49542,5,
49544,4,
49555,4,10
49562,1,12
49565,9,12
49576,10,
49577,3,16
49584,4,
49586,10,
49592,3,10
49593,12,12
49606,2,10
49614,8,
49616,3,10
49619,6,
49620,9,
49621,8,
49622,11,12
49623,2,12
49626,3,10
49627,1,10
49629,4,
49631,8,
49634,10,
49635,10,10
49638,12,12
49640,9,12
49641,8,12
49642,3,12
49645,1,4
49649,10,10
49650,3,12
49652,3,10
49653,3,10
49657,4,12
49658,8,
49661,8,
49668,4,10
49676,4,10
49678,4,12
49679,15,16
49681,4,12
49684,7,10
49685,1,
49690,8,10
49691,5,8
49696,7,12
49698,5,12
49700,1,
49703,7,10
49706,7,
49710,4,12
49715,5,10
49717,8,10
49720,5,
49721,9,14
49724,4,10
49725,1,10
49728,9,12
49729,5,10
49730,12,12
49734,6,12
49735,1,12
49736,8,
49741,8,
49742,7,8
49743,6,12
49747,12,
49748,10,12
49749,10,
49750,9,12
49751,10,12
49752,8,12
49754,6,10
49757,1,12
49758,3,12
49759,7,10
49762,8,14
49763,9,10
49764,10,
49767,2,9
49769,8,
49770,8,6
49776,8,12
49777,10,
49780,7,
49781,4,10
49784,8,12
49786,6,12
49788,12,16
49792,9,
49793,2,10
49795,2,8
49797,5,
49798,1,10
49804,10,
49805,2,8
49806,1,
49812,5,
49813,1,10
49820,10,
49822,9,
49823,4,
49825,3,
49826,6,16
49827,7,10
49828,2,10
49833,5,12
49838,9,12
49842,7,
49843,8,
49844,10,
49845,3,10
49846,7,
49849,10,10
49851,5,
49853,9,14
49855,12,12
49859,3,8
49863,2,10
49864,2,
49865,7,8
49867,4,10
49870,9,12
49876,7,
49878,6,12
49886,10,14
49888,4,
49889,8,10
49891,1,10
49893,7,12
49896,2,
49899,6,12
49900,1,
49902,4,8
49903,13,14
49904,11,12
49908,5,10
49911,4,
49913,9,12
49919,5,8
49921,9,
49922,8,
49925,6,10
49931,1,
49933,3,10
49935,7,12
49937,3,8
49944,9,10
49946,6,
49949,5,10
49951,1,12
49955,1,12
49960,3,10
49963,9,12
49964,9,12
49969,6,10
49973,10,
49978,9,
49982,4,12
49983,10,
49985,10,10
49988,5,
49991,2,8
49995,9,10
50000,11,
50002,8,
50011,7,14
50014,2,
50015,10,12
50017,9,10
50018,8,
50022,6,
50024,4,
50027,7,8
50032,9,12
50038,4,
50044,6,10
50045,8,12
50048,8,10
50051,6,10
50052,2,10
50055,1,
50056,4,
50064,9,12
50069,9,12
50070,6,
50075,2,
50076,8,11
50077,8,10
50080,7,10
50083,10,12
50087,2,12
50088,2,14
50092,4,
50094,10,10
50101,1,
50106,9,12
50108,10,12
50109,8,
50110,12,12
50112,5,
50114,8,10
50116,7,
50133,7,10
50136,7,12
50137,8,
50140,10,12
50141,7,
50144,9,
50145,13,14
50148,2,10
50150,11,11
50153,10,12
50157,8,12
50158,9,12
50160,8,12
50166,3,10
50173,12,12
50174,10,12
50177,6,7
50180,4,12
50185,2,10
50187,9,10
50190,1,8
50194,1,
50195,1,8
50201,9,12
50203,4,
50205,3,10
50207,8,8
50210,1,12
50212,8,10
50222,9,10
50225,10,12
50228,4,
50229,2,10
50245,2,
50246,11,12
50248,7,
50249,6,8
50252,7,12
50253,8,8
50254,1,
50256,3,
50261,8,12
50263,1,14
50264,2,
50266,2,12
50267,8,12
50268,9,
50272,8,
50273,11,12
50276,8,
50277,11,14
50278,2,
50283,12,12
50284,6,12
50293,6,
50297,11,12
50298,1,
50300,5,
50301,3,12
50302,1,10
50303,9,
50306,6,
50307,3,8
50308,6,10
50310,6,
50315,5,12
50318,11,12
50320,3,
50321,5,12
50325,10,
50326,6,12
50332,1,
50333,4,6
50335,6,10
50336,9,10
50338,10,10
50342,8,12
50344,6,10
50346,7,10
50348,3,10
50349,1,12
50357,8,12
50358,12,12
50360,11,12
50363,7,10
50364,11,11
50371,1,12
50372,5,
50374,12,12
50375,2,10
50376,1,
50379,9,
50381,3,12
50383,10,
50384,9,10
50385,3,
50387,5,10
50391,9,12
50392,8,10
50393,10,14
50394,1,10
50396,1,10
50398,1,
50402,1,
50405,10,
50408,2,
50410,9,10
50411,2,
50416,7,8
50418,7,12
50422,12,12
50425,14,16
50426,3,
50435,12,12
50437,3,
50443,3,
50445,7,16
50448,1,12
50450,12,12
50453,5,
50454,11,12
50455,3,
50456,5,10
50457,7,16
50458,6,12
50459,9,
50462,10,10
50463,4,10
50464,5,
50466,5,
50469,10,10
50470,1,12
50471,6,14
50473,2,12
50477,10,
50481,2,10
50485,7,
50487,6,10
50488,4,10
50489,9,
50492,9,
50494,2,8
50496,5,10
50498,4,
50499,8,10
50502,8,
50510,4,10
50512,4,
50520,8,12
50525,5,10
50529,11,12
50532,2,
50540,7,12
50546,1,12
50548,5,
50549,5,
50552,3,
50554,6,10
50557,3,8
50559,8,
50562,6,
50563,16,16
50564,10,10
50565,2,10
50567,7,12
50568,10,10
50573,2,10
50576,2,10
50578,10,
50588,10,10
50593,6,
50594,8,16
50597,7,10
50604,10,
50608,3,10
50615,1,
50617,8,12
50618,6,
50619,7,10
50623,8,10
50624,4,
50626,2,
50631,4,10
50632,2,8
50636,2,12
50637,10,
50639,7,
50640,10,10
50644,2,
50645,9,
50648,5,12
50653,11,12
50654,11,14
50657,7,12
50658,4,
50660,8,12
50661,5,10
50668,4,10
50671,7,8
50672,4,10
50676,10,
50679,5,10
50681,1,
50692,8,
50696,5,
50699,12,12
50704,1,10
50705,9,12
50706,8,
50712,8,12
50713,12,12
50716,10,14
50717,9,12
50718,8,10
50719,11,12
50720,3,14
50723,6,12
50724,6,
50726,3,11
50729,2,
50730,5,12
50733,6,
50739,10,10
50742,4,
50743,2,8
50750,3,
50756,4,
50757,4,10
50760,7,13
50761,8,
50768,6,16
50769,10,
50770,10,
50772,5,12
50773,6,12
50776,1,8
50778,10,10
50779,2,
50780,1,
50783,4,
50784,4,12
50786,5,10
50788,7,10
50789,3,12
50797,10,12
50800,3,
50801,3,
50802,5,12
50810,1,
50812,8,10
50813,4,12
50814,5,
50817,1,10
50818,10,10
50822,9,10
50825,11,12
50828,5,10
50831,15,16
50838,10,12
50842,6,10
50843,5,
50846,5,
50853,1,8
50857,7,
50858,3,
50860,1,
50863,1,10
50864,12,12
50865,4,
50873,9,10
50875,3,8
50876,5,12
50880,7,
50882,1,10
50883,8,12
50884,7,12
50885,5,10
50890,1,
50892,9,10
50896,4,
50900,11,12
50904,6,10
50906,8,
50909,5,12
50910,4,12
50918,9,10
50919,5,10
50921,12,12
50923,7,10
50924,5,10
50932,5,10
50933,3,8
50935,4,12
50937,7,8
50939,9,12
50941,7,10
50942,7,10
50943,10,
50945,1,
50946,7,12
50948,10,
50950,6,
50951,9,10
50952,3,12
50957,3,12
50958,3,
50965,7,12
50966,6,8
50969,4,12
50974,4,
50976,10,12
50977,10,10
50978,2,
50979,11,12
50986,5,8
50987,9,
50988,12,12
50990,7,
50991,11,12
50992,7,8
50993,8,8
50998,3,12
51000,12,
51001,1,10
51003,1,10
51006,3,
51007,9,12
51009,2,10
51010,1,8
51014,7,12
51015,6,
51016,5,
51019,2,
51026,7,12
51029,11,12
51030,8,8
51034,8,
51040,5,12
51041,5,12
51042,5,12
51045,7,
51047,5,10
51049,5,16
51050,3,
51052,1,10
51057,3,
51061,3,
51063,2,
51071,7,12
51072,8,10
51076,9,14
51077,3,
51078,1,14
51079,9,10
51081,9,10
51087,7,12
51101,1,
51104,4,12
51105,8,10
51106,2,
51108,10,10
51110,1,12
51111,8,14
51115,8,10
51117,8,10
51120,1,
51121,2,12
51124,6,10
51125,10,10
51128,6,
51129,8,12
51130,2,8
51133,8,
51135,1,10
51138,1,
51139,12,12
51143,2,8
51146,3,8
51150,7,10
51154,9,12
51157,7,
51158,10,
51159,3,
51161,5,12
51162,5,8
51163,9,
51164,11,12
51165,9,
51168,6,
51172,5,10
51173,3,12
51177,8,10
51187,6,10
51190,8,12
51192,8,
51194,8,
51195,10,12
51201,7,
51202,8,
51203,1,10
51204,9,
51205,6,8
51215,9,
51216,2,
51218,3,
51221,3,12
51225,10,
51229,8,
51232,5,
51234,4,
51236,5,8
51237,1,8
51239,3,10
51240,1,
51241,2,12
51242,4,6
51243,12,12
51245,3,8
51246,4,
51248,10,10
51249,3,10
51250,7,12
51255,4,
51258,3,12
51262,5,10
51263,6,10
51264,7,12
51267,3,
51268,9,10
51269,7,8
51270,10,10
51273,5,12
51278,5,12
51280,3,12
51283,4,
51285,7,
51286,5,10
51288,10,12
51291,2,14
51295,8,
51300,5,
51306,7,10
51307,9,10
51308,4,12
51310,1,
51311,12,12
51321,2,10
51322,6,12
51323,11,12
51324,3,
51327,3,10
51332,3,
51335,8,10
51337,5,12
51338,1,10
51343,5,12
51346,6,
51350,8,8
51352,7,12
51356,10,10
51359,3,
51362,1,4
51363,5,10
51368,9,
51370,5,12
51371,7,
51376,1,12
51377,11,12
51380,6,
51381,10,
51383,2,12
51384,11,12
51386,5,8
51388,7,10
51389,4,12
51392,6,12
51396,1,
51398,5,
51400,5,
51404,4,
51405,6,6
51408,3,
51409,1,10
51411,12,12
51414,1,10
51415,10,10
51417,6,10
51418,4,10
51420,8,8
51423,1,
51424,6,
51432,5,
51434,9,
51436,4,10
51438,9,
51448,6,10
51450,5,10
51452,1,12
51460,4,12
51465,10,12
51466,3,10
51469,2,12
51470,9,10
51471,1,10
51473,3,
51480,10,10
51482,10,
51487,1,6
51488,4,
51490,7,12
51493,6,10
51496,3,
51501,2,
51508,9,
51512,11,12
51514,10,12
51516,3,10
51518,9,
51520,6,10
51521,9,
51523,6,
51525,4,10
51528,6,10
51530,8,12
51539,4,14
51542,7,10
51543,5,10
51544,3,10
51546,5,14
51550,7,8
51551,12,12
51552,9,
51553,3,
51554,1,8
51557,5,10
51559,2,12
51565,3,
51568,10,10
51572,8,
51575,10,10
51581,6,
51585,4,16
51586,12,12
51587,5,10
51591,5,8
51592,7,12
51594,10,12
51605,3,16
51616,9,12
51618,8,10
51619,4,12
51621,3,12
51623,6,10
51624,10,10
51626,6,10
51628,10,
51629,1,
51632,7,10
51635,8,12
51640,7,
51641,2,4
51644,4,
51650,9,12
51659,9,10
51664,6,10
51673,9,
51674,7,10
51677,3,10
51679,3,10
51680,7,
51682,10,10
51683,5,8
51684,3,
51685,5,
51690,2,
51697,4,10
51701,3,12
51703,11,12
51705,8,
51706,8,
51709,2,10
51711,10,
51715,1,10
51716,9,16
51719,4,10
51721,8,
51722,2,
51724,2,4
51725,10,12
51728,9,10
51741,1,12
51743,1,12
51744,5,10
51746,9,10
51747,14,14
51751,5,14
51755,1,
51761,10,10
51764,9,12
51766,9,12
51769,5,10
51777,9,10
51779,1,6
51780,2,
51783,6,
51787,10,10
51789,2,
51790,3,10
51792,12,12
51793,2,8
51797,5,
51801,2,12
51803,1,10
51804,8,8
51808,1,10
51812,5,8
51813,10,10
51814,7,10
51824,2,8
51825,2,10
51826,7,12
51828,2,12
51831,2,12
51834,3,10
51835,6,12
51838,12,14
51840,9,10
51841,1,10
51845,7,10
51847,10,12
51850,4,
51854,4,
51857,2,14
51864,12,
51869,1,4
51871,3,10
51874,7,8
51875,4,10
51877,2,12
51878,8,
51880,1,
51884,6,
51889,12,12
51892,10,
51894,6,8
51901,6,
51904,1,10
51906,8,
51907,1,8
51912,11,12
51914,3,10
51918,6,
51919,8,10
51922,2,10
51924,6,
51926,11,12
51928,11,12
51932,4,
51933,1,12
51934,10,10
51937,8,8
51943,7,
51945,8,12
51950,4,12
51951,10,
51952,12,12
51953,8,
51954,9,10
51962,6,8
51963,8,10
51964,1,10
51965,4,
51966,7,12
51967,3,
51969,4,20
51970,10,
51972,7,
51974,8,12
51978,4,10
51979,9,10
51980,1,10
51981,7,
51984,4,16
51986,4,12
51988,10,12
51993,4,10
51994,7,8
51995,6,6
51996,9,
51997,9,
51999,11,12
52001,1,4
52002,7,12
52004,2,
52006,8,12
52009,8,
52011,5,14
52012,8,8
52013,8,10
52016,8,12
52018,4,16
52019,10,12
52021,1,10
52023,6,
52030,6,8
52033,12,14
52034,8,10
52035,3,10
52039,11,12
52040,7,12
52041,10,10
52050,7,12
52051,8,8
52053,10,
52055,5,
52058,6,12
52062,5,10
52065,4,12
52066,7,12
52068,8,8
52072,9,
52077,2,10
52078,1,
52081,9,9
52091,8,10
52100,5,
52103,6,16
52104,3,10
52105,7,12
52110,9,12
52113,3,10
52114,1,10
52116,7,
52117,4,10
52118,8,
52119,8,10
52123,4,
52124,4,
52126,9,10
52128,8,
52132,16,16
52140,9,
52145,5,12
52146,10,12
52147,8,12
52148,6,
52149,5,
52155,4,8
52157,4,
52160,3,8
52165,6,
52167,3,12
52168,1,
52170,3,12
52173,7,12
52177,12,12
52181,3,12
52186,7,10
52191,5,10
52193,5,12
52196,12,12
52198,8,
52202,11,12
52209,5,10
52211,8,8
52215,6,12
52216,2,12
52222,5,12
52223,8,10
52225,10,
52229,1,
52230,10,12
52232,7,12
52236,4,12
52238,7,8
52241,6,
52242,10,10
52243,2,
52244,4,12
52249,1,8
52252,8,
52253,4,
52260,6,10
52262,12,12
52263,4,6
52269,5,12
52270,9,10
52274,2,
52277,6,10
52279,7,10
52280,3,
52281,2,12
52283,5,
52287,5,8
52289,2,
52291,4,12
52297,3,12
52298,3,
52305,5,
52307,7,10
52308,3,10
52310,6,8
52313,8,10
52316,4,
52321,1,
52322,3,10
52323,10,12
52324,8,10
52330,2,8
52331,5,10
52334,9,12
52336,12,14
52340,4,16
52349,3,12
52353,8,12
52354,7,10
52355,5,10
52357,7,10
52358,2,10
52359,3,8
52360,6,10
52361,10,10
52362,6,12
52365,1,
52367,9,12
52368,6,12
52370,7,12
52372,6,12
52374,1,
52376,7,
52383,8,12
52385,3,10
52386,8,10
52387,14,14
52392,4,10
52397,2,
52399,8,10
52400,5,
52401,5,12
52402,5,
52404,2,
52405,4,10
52406,7,
52409,6,10
52410,12,12
52414,7,10
52420,7,12
52421,3,
52423,7,12
52424,7,12
52430,5,
52437,9,10
52439,8,14
52441,2,12
52442,11,12
52448,8,10
52449,8,9
52454,3,
52455,3,12
52457,3,7
52462,10,
52465,6,12
52468,2,8
52471,7,12
52472,6,
52474,7,10
52476,7,
52479,7,10
52482,1,10
52483,7,16
52485,10,
52486,7,8
52487,6,
52488,3,
52489,1,10
52492,7,10
52498,2,10
52500,1,10
52501,12,
52506,2,8
52507,5,10
52512,1,12
52513,2,12
52514,3,8
52519,9,12
52521,5,
52524,4,10
52529,4,
52534,10,12
52536,8,12
52543,3,8
52544,1,
52546,2,
52547,3,14
52548,8,12
52552,2,
52553,6,8
52554,1,10
52556,5,6
52559,2,12
52561,6,12
52567,1,
52571,3,12
52574,4,
52576,5,10
52579,8,
52584,10,12
52586,3,
52587,9,12
52590,12,12
52600,7,
52601,6,14
52604,5,10
52607,9,10
52608,6,
52610,5,10
52615,12,12
52617,6,10
52622,7,10
52629,6,12
52630,6,
52632,2,
52637,4,10
52638,4,12
52640,10,
52648,8,
52650,7,
52651,6,10
52652,11,12
52655,7,8
52659,7,10
52660,12,12
52667,10,
52668,9,
52669,6,8
52670,10,10
52671,8,
52675,8,
52677,6,
52680,10,12
52682,10,
52683,10,10
52689,7,10
52693,2,
52694,3,10
52695,8,12
52696,8,
52697,2,10
52699,2,14
52700,7,10
52701,10,
52703,7,
52717,8,10
52720,11,14
52723,5,10
52724,5,
52726,3,
52729,7,8
52739,8,10
52740,11,12
52742,8,10
52743,5,10
52745,3,10
52746,10,12
52750,7,10
52752,4,
52755,1,10
52758,9,14
52762,11,12
52765,9,14
52770,9,10
52774,8,
52779,2,14
52782,3,
52784,7,10
52785,9,10
52789,4,10
52790,6,12
52795,4,10
52796,10,12
52801,6,10
52802,7,
52805,4,12
52807,2,12
52810,10,10
52812,10,10
52820,9,10
52822,10,
52824,5,
52829,12,12
52830,3,
52833,6,12
52841,1,
52844,1,
52849,6,10
52850,4,10
52851,5,12
52853,6,6
52856,9,12
52864,6,
52866,9,
52869,4,8
52870,2,
52871,7,
52876,2,
52877,10,
52882,7,
52888,7,10
52890,11,
52895,7,12
52896,1,12
52898,6,10
52901,10,10
52902,8,12
52903,4,10
52905,7,10
52908,2,7
52913,8,
52916,8,
52917,6,12
52920,4,10
52922,1,
52928,1,16
52930,2,10
52932,9,10
52939,11,12
52941,3,12
52947,4,
52949,3,
52950,7,
52951,8,
52952,1,
52954,12,
52956,8,
52957,10,
52961,10,
52962,5,10
52963,2,10
52964,10,10
52966,3,
52967,3,12
52968,1,8
52969,7,12
52972,1,
52974,7,
52975,4,12
52980,5,12
52981,8,10
52982,6,
52984,8,
52985,7,12
52986,6,10
52987,6,10
52998,3,
52999,10,12
53003,8,10
53004,8,10
53006,11,12
53012,4,
53013,6,10
53014,12,14
53019,2,4
53025,11,12
53026,5,8
53028,6,10
53034,10,
53036,6,10
53040,4,12
53042,4,
53047,8,10
53048,12,14
53051,4,
53061,1,12
53069,3,10
53072,4,12
53077,8,8
53078,7,12
53079,5,8
53080,11,12
53083,6,8
53084,11,
53087,1,8
53092,5,8
53093,2,8
53097,2,
53098,6,12
53099,11,12
53100,6,
53101,12,12
53103,7,
53108,1,8
53117,7,
53121,2,
53123,7,8
53125,2,8
53126,4,
53127,2,10
53128,2,
53129,10,10
53133,6,
53134,3,10
53142,10,10
53146,8,
53150,9,10
53151,10,10
53156,2,12
53157,1,8
53158,10,12
53159,2,8
53161,5,12
53162,4,9
53165,4,
53166,2,12
53172,7,
53173,1,
53174,11,
53176,1,6
53178,5,
53179,6,12
53182,9,12
53183,6,10
53187,12,12
53188,7,12
53189,7,
53190,4,
53191,2,16
53192,9,
53195,7,
53197,8,12
53198,7,12
53199,1,12
53200,3,
53203,3,10
53205,10,10
53213,11,12
53218,5,
53220,10,
53221,3,
53225,7,10
53228,2,12
53231,6,
53233,2,8
53236,7,12
53238,9,
53239,5,12
53243,3,
53244,2,12
53245,13,14
53246,9,10
53249,3,10
53250,6,8
53253,10,10
53254,5,12
53256,10,12
53258,2,10
53260,4,10
53261,9,10
53262,3,10
53263,8,12
53268,2,12
53273,5,
53274,6,10
53277,10,12
53278,6,10
53279,10,12
53288,11,12
53289,7,10
53290,8,
53292,8,12
53294,7,10
53300,3,
53306,6,10
53309,4,8
53311,6,12
53317,10,10
53318,3,
53320,7,10
53322,11,12
53324,2,12
53328,6,
53332,6,10
53334,9,
53337,3,
53339,4,14
53341,3,
53343,2,12
53345,3,4
53362,9,10
53366,5,
53371,12,12
53373,6,
53376,7,8
53378,10,
53384,3,12
53385,7,14
53386,10,14
53388,9,
53389,10,
53392,3,8
53394,1,8
53395,3,10
53398,7,10
53400,1,
53406,5,8
53409,6,
53413,8,12
53414,13,14
53418,5,12
53419,8,12
53421,7,8
53422,3,
53423,3,10
53427,6,8
53428,4,10
53429,1,10
53431,5,10
53437,8,12
53438,3,10
53439,6,7
53442,1,
53443,5,10
53444,10,
53446,10,
53447,2,10
53448,11,
53449,6,
53452,4,10
53458,5,
53465,1,
53469,6,12
53470,6,12
53472,5,
53474,8,10
53476,10,12
53477,7,10
53478,2,10
53479,1,12
53480,9,10
53481,4,
53483,4,
53486,5,10
53491,4,10
53492,4,8
53497,4,
53500,1,
53502,2,
53504,7,
53507,1,
53508,10,
53511,10,12
53513,1,12
53514,1,16
53517,2,8
53518,9,12
53524,7,12
53527,5,8
53528,6,
53529,8,12
53533,5,
53536,8,10
53538,6,10
53540,9,
53542,10,
53544,8,12
53547,7,
53553,1,
53560,10,
53565,7,10
53566,6,
53567,5,
53569,10,12
53575,1,12
53577,11,12
53578,7,
53585,1,
53586,5,10
53588,4,
53591,7,
53594,5,
53597,3,
53598,3,
53600,9,10
53602,10,
53603,5,12
53606,2,
53607,6,10
53615,11,12
53617,1,10
53620,9,10
53623,3,10
53624,4,
53628,1,
53631,10,10
53634,3,
53637,4,10
53638,9,14
53640,8,
53643,7,8
53646,9,
53647,1,
53648,8,10
53650,5,12
53663,12,14
53668,1,
53670,2,6
53672,6,10
53673,1,12
53674,7,
53675,6,
53676,9,10
53681,3,12
53682,10,
53683,8,10
53689,6,
53695,8,12
53697,5,14
53702,7,
53706,6,12
53709,4,
53710,1,12
53712,7,
53719,3,
53726,1,
53728,2,10
53730,4,
53732,7,12
53733,2,10
53738,1,4
53739,5,8
53740,2,10
53742,4,
53743,10,10
53746,1,8
53748,3,
53749,1,
53754,5,6
53755,1,10
53759,12,12
53760,8,
53765,12,14
53770,6,10
53773,6,10
53780,6,
53781,10,
53783,7,12
53784,7,10
53785,1,
53786,6,
53787,9,
53792,10,
53796,11,12
53797,3,
53800,6,
53801,6,
53802,2,
53804,8,
53807,5,10
53808,8,
53813,8,
53814,4,10
53817,10,
53819,4,10
53820,5,10
53822,10,
53826,6,10
53827,9,12
53829,6,12
53830,6,10
53832,3,
53833,4,12
53839,4,
53843,4,10
53849,10,10
53857,5,
53858,7,10
53861,6,8
53862,8,10
53867,7,10
53868,3,10
53872,2,
53875,8,10
53876,4,
53877,3,10
53880,7,
53884,5,12
53885,4,12
53886,7,
53887,10,12
53892,4,
53895,4,
53902,8,10
53903,7,12
53905,4,
53907,4,
53909,11,12
53911,6,11
53917,8,10
53924,2,
53927,11,12
53929,10,
53932,1,8
53933,1,
53934,3,
53935,2,12
53940,1,16
53941,5,20
53942,10,12
53946,2,10
53948,8,
53952,5,
53953,7,10
53955,1,12
53957,6,12
53963,6,10
53964,3,12
53965,5,
53968,7,
53975,10,10
53978,4,10
53980,10,
53983,13,14
53989,10,10
53990,3,12
53996,2,10
53997,1,
53998,12,12
54000,6,10
54003,1,8
54004,5,16
54007,1,
54012,7,12
54015,2,10
54016,12,
54017,10,
54018,2,
54019,8,
54020,1,
54021,7,10
54022,9,
54025,5,12
54027,8,10
54028,2,10
54029,1,
54032,8,
54033,3,
54036,3,12
54040,2,8
54041,9,10
54042,10,
54043,1,14
54051,3,10
54053,4,
54056,1,
54063,4,
54064,5,8
54070,4,
54071,2,10
54076,8,10
54077,3,
54080,9,12
54081,3,10
54085,7,8
54095,8,
54100,2,10
54102,3,12
54103,10,12
54104,2,10
54109,1,8
54113,5,8
54119,1,12
54127,10,
54132,9,10
54134,3,13
54136,10,10
54138,10,12
54139,5,12
54143,5,11
54146,1,10
54148,6,12
54153,3,
54156,3,12
54166,2,12
54167,3,
54172,7,10
54174,8,8
54175,7,
54188,6,8
54190,5,14
54191,10,10
54196,5,
54197,4,14
54201,3,
54202,5,10
54210,3,
54211,3,
54213,7,8
54219,10,12
54221,2,
54222,7,
54223,8,10
54226,12,12
54230,9,
54234,9,
54235,3,
54236,4,
54238,10,12
54239,8,12
54241,5,
54243,2,10
54248,6,
54249,3,
54253,6,
54255,1,
54262,2,
54265,3,12
54270,9,10
54271,8,12
54278,10,10
54279,11,12
54281,7,
54283,4,10
54284,1,10
54294,1,10
54297,4,12
54301,5,
54306,5,
54307,9,12
54312,10,10
54316,7,
54320,8,10
54322,7,
54326,10,14
54329,8,12
54330,1,10
54331,6,10
54336,6,
54338,7,
54343,4,
54344,1,
54349,8,
54350,3,12
54351,7,10
54353,8,
54355,7,
54356,4,
54361,2,
54362,2,
54367,6,6
54368,5,
54370,7,
54372,8,
54373,7,12
54374,7,8
54376,9,
54380,1,
54388,4,10
54389,1,
54393,3,12
54395,2,8
54396,4,10
54397,5,9
54399,4,10
54400,9,
54401,10,12
54402,6,
54403,7,12
54405,6,
54407,6,10
54408,7,
54412,4,10
54416,5,16
54417,4,
54420,4,14
54427,7,10
54429,9,
54431,9,10
54436,4,
54437,4,10
54440,8,
54442,12,12
54443,9,10
54446,8,12
54448,8,10
54449,10,
54451,10,12
54460,6,12
54461,1,12
54469,5,
54473,6,
54474,4,
54476,12,12
54477,6,
54479,4,
54485,3,12
54487,4,12
54488,3,
54491,2,
54494,7,
54496,5,10
54501,3,10
54507,10,10
54512,8,
54513,3,10
54518,10,10
54521,10,10
54528,9,
54531,15,16
54534,8,
54536,4,6
54540,3,
54544,2,6
54547,3,
54548,2,12
54550,2,
54560,9,12
54564,12,12
54566,6,10
54567,11,12
54570,2,12
54573,5,6
54574,4,12
54579,8,10
54588,3,
54592,10,
54593,3,
54595,9,10
54599,2,
54600,6,
54601,10,
54603,8,
54606,6,12
54610,5,8
54613,2,
54620,3,
54623,3,12
54625,4,10
54627,12,12
54628,7,10
54632,5,
